theme,n_obs,target_variable,rmse,tree_depth,min_n,cost_complexity,last_target_date
aquatics,19855,temperature,0.939056208237265,14,7,2.8610864581292623e-8,2022-12-31
aquatics,19640,oxygen,0.5361489420923241,15,16,4.309864745101504e-8,2022-12-31
aquatics,3797,chla,7.70893079738015,7,29,1.1264827122361807e-8,2022-12-31
beetles,801,abundance,0.35369596683373505,13,32,4.328203241789406e-9,2022-12-31
beetles,801,richness,3.2925039849756845,9,31,1.3681946744132964e-10,2022-12-31
phenology,36741,gcc_90,0.00819076380401296,13,4,1.8098890046338677e-6,2022-12-31
phenology,36741,rcc_90,0.015901515991332826,15,18,8.455285769591162e-9,2022-12-31
terrestrial_daily,25648,nee,0.8950443532405373,15,5,4.369696074860967e-6,2022-12-31
terrestrial_daily,25648,le,11.185446265905751,15,8,5.159466025581932e-7,2022-12-31
ticks,128,amblyomma_americanum,61.47584251470073,4,14,6.347293038351416e-5,2022-12-31
