theme,site,predictor_formula,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,importance_air_temperature,importance_surface_downwelling_longwave_flux_in_air,importance_air_pressure,importance_site_id,importance_eastward_wind,importance_surface_downwelling_shortwave_flux_in_air,importance_relative_humidity,importance_northward_wind,importance_precipitation_flux
aquatics,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,23554,10,temperature,0.8251565669909782,6,4,1003242.9974820894,275205.7353756801,198275.38136712075,72212.53177985459,37909.31068684792,35508.66368853183,24964.244474431554,18377.697097651366,9442.69671236413
aquatics,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,22850,10,oxygen,0.35625064267694906,7,6,46485.00673342223,8152.399827116263,11135.056122137068,16643.494315305852,3889.7083141916087,3704.1130218875596,3316.6761675009684,2569.9650776326703,1161.9985547029744
aquatics,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,4192,10,chla,3.181031523941481,4,2,70057.14337287699,53903.92048940769,69201.70639645406,233750.41960046787,45018.32154278108,51552.24137322469,53563.07019225345,36976.50179564027,26560.1155160833
beetles,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,1096,10,abundance,0.27997043914182157,2,31,8.30194343500036,8.150788850315259,11.695585863535001,5.382643093832336,4.9705898679132,6.325015336144239,6.20805542067251,7.349158288926114,5.273396249750389
beetles,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,1096,10,richness,1.9208868319157424,4,2,5054.576308545248,4601.521712051147,5283.196472676941,4648.030753816979,3973.6973142605398,4913.1406057765425,4711.133099529742,3976.078268225245,3133.7549863726385
phenology,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,42291,10,gcc_90,0.005516428889979657,6,5,11.915732365063425,5.66248451669178,5.683522563589467,9.072839755926928,1.7058509913133277,3.7500858137613076,3.6511701560877494,1.173893791337951,1.0321310291061145
phenology,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,42291,10,rcc_90,0.010918131504096807,8,11,19.811451206530705,3.390997852882327,11.359366657363683,21.68196832731121,2.73295008765638,5.976861048667415,15.503221583072351,2.545012484564104,2.4730008800781214
terrestrial_daily,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,28733,10,nee,0.5695529796662239,7,3,17765.875478471877,16804.357267049287,22865.514522445723,17858.232882621236,11299.371240631837,36753.69831830523,14946.305594762542,10872.353966440192,7245.585903481382
terrestrial_daily,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,28733,10,le,8.955143602438442,4,9,9997170.929521993,4855625.605620318,3597636.135154009,2324092.168642416,1669664.759454571,11117768.475689204,4460804.0896355435,1762554.4298009812,1009575.8870282954
ticks,all sites,site_id + air_pressure + air_temperature + eastward_wind + northward_wind + precipitation_flux + relative_humidity + surface_downwelling_longwave_flux_in_air + surface_downwelling_shortwave_flux_in_air,145,10,amblyomma_americanum,59.73670184358354,4,6,239379.69894467102,376710.7163700123,410725.78171126725,1160327.416026205,212887.11541315896,428247.33642271627,255546.1726312505,379331.78019874945,166947.77709593455
